id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
A001,Load Alignment,FASTA launch then switch to Alignment,P0,Covered,file-type,Smoke,fasta,AngularTesting_seqs_TN93_BS.fasta,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts,"Load FASTA through Files, launch the network, switch to Alignment, and verify the sequence canvas renders.",Global node and visible-link counts match the uploaded FASTA baseline; Alignment canvas renders; label rows equal the number of sequences; excluded-node count stays 0.,,This is the maintained FASTA smoke for Alignment on uploaded data.,2026-04-03
A002,Load Alignment,Sequence node list launch then switch to Alignment,P0,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts,"Load a node list with sequences, launch the network, switch to Alignment, and verify deterministic label-row rendering.",Global counts stay coherent; Alignment canvas renders; label rows equal 14 sequence-bearing nodes; excluded-node count stays 0.,,This is the maintained uploaded node-list smoke for Alignment.,2026-04-03
A003,Load Alignment,Node plus link launch with excluded missing-sequence nodes,P0,Covered,file-type,Smoke,node + distance link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts,"Load uploaded node and distance-link files, switch to Alignment, and verify nodes lacking sequence data are omitted from the rendered alignment.","Global counts match the uploaded SNP node+link baseline; Alignment canvas renders for 30 sequence-bearing nodes; excluded-node count shows 3; the Excluded Nodes dialog lists P1, P2, and P3.",,This covers the highest-value mixed file-type Alignment path on uploaded data.,2026-04-03
A004,Alignment Data,Excluded nodes dialog,P1,Covered,feature-behavior,Behavior,node + distance link with partial sequence coverage,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/upload-launch-alignment.cy.ts,Open the Alignment Excluded Nodes dialog on uploaded data where some nodes have blank sequences.,The toolbar counter shows 3; the dialog opens; the omitted node IDs are listed deterministically; the rendered label rows exclude those nodes.,,This is the maintained omission path for Alignment-specific sequence filtering.,2026-04-03
A005,Alignment Settings,Mini-map visibility toggle,P1,Covered,feature-behavior,Behavior,uploaded node + link with sequences,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/alignment-controls-uploaded.cy.ts,Open Alignment settings and toggle the mini-map off and back on.,#miniMapHolder hides and reappears through the real settings control; Alignment remains interactive after both transitions.,,Covered on uploaded data rather than only through the old sample-data spec.,2026-04-03
A006,Alignment Settings,Top display Bar Plot -> Logo,P1,Covered,feature-behavior,Behavior,uploaded node + link with sequences,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/alignment-controls-uploaded.cy.ts,Switch the Alignment top display from Bar Plot to Logo on uploaded data.,The top-display title changes to Logo; the top SVG renders nucleotide logo glyph paths; Alignment remains interactive after the change.,,This covers the highest-value Alignment-specific settings path on maintained uploaded data.,2026-04-03
A007,Export,Alignment image export to SVG,P1,Covered,file-type,Behavior,uploaded sequence node list,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-export-uploaded.cy.ts,Export the uploaded Alignment view as an SVG image.,A non-empty SVG file is written to cypress/downloads; the file contains <svg markup from the rendered Alignment view.,,This is the maintained visual export path for Alignment.,2026-04-03
A008,Export,Alignment data export to FASTA,P1,Covered,syntax,Behavior,uploaded sequence node list,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-export-uploaded.cy.ts,Export the uploaded Alignment data as FASTA.,A FASTA file is written to cypress/downloads; the file contains sequence headers and sequence content for the uploaded nodes.,,This covers the primary sequencing-data export path for Alignment.,2026-04-03
A009,Export,Alignment data-table export to CSV,P1,Covered,file-type,Behavior,uploaded sequence node list,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/alignment-export-uploaded.cy.ts,Export the uploaded Alignment summary table as CSV.,A non-empty CSV file is written to cypress/downloads; the header contains the expected position-based columns.,,This covers the advanced data-table export path exposed by the Alignment export dialog.,2026-04-03
A010,Load Alignment,Direct file launch to Alignment default view,P1,Covered,file-type,Smoke,fasta; node with sequences; node + link with sequences,AngularTesting_seqs_TN93_BS.fasta; AngularTesting_nodelist_withseqs_TN93_BS.csv; COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/alignment-direct-launch-uploaded.cy.ts,Set File Settings default view to Alignment View before launch and confirm the uploaded dataset reaches an interactive Alignment surface without hanging or rendering a broken canvas.,The Processing Files dialog should clear; Alignment should be interactive immediately on launch; the rendered Alignment canvas should have non-zero size on the direct-launch path.,,"Covered by the maintained direct-launch Alignment smoke across FASTA sequence-node and node+link fixtures after the direct-launch render-sync fix for ABG001.",2026-04-04
