id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
CT001,Load Crosstab,Distance edgelist load,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load a distance edgelist, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Covered by the maintained SNP edgelist Crosstab journey.,2026-04-03
CT002,Load Crosstab,Distance matrix load,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load a distance matrix, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Covered by the maintained matrix Crosstab journey.,2026-04-03
CT003,Load Crosstab,FASTA load,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load FASTA data, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Covered by the maintained FASTA Crosstab journey.,2026-04-03
CT004,Load Crosstab,Node list plus link list load,P0,Covered,file-type,Smoke,node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load separate node and link files, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Uses the maintained style-capable uploaded dataset path.,2026-04-03
CT005,Load Crosstab,Sequence node list load,P1,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load a sequence-capable node list, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Covered through the maintained TN93 sequence-node grouping profile.,2026-04-03
CT006,Load Crosstab,Newick load,P1,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/crosstab-file-types.cy.ts,"Load a Newick tree, switch to Crosstab, and confirm the rendered table matches the visible-node aggregation.",Rendered Crosstab header/body/footer match the expected aggregation; footer total matches visible node count.,,Covered by the maintained Newick-to-2D Crosstab journey.,2026-04-03
CT007,Crosstab Settings,X and Y axis selection,P1,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Change Crosstab X and Y fields and verify the rendered table recomputes deterministically.,crosstab-xVariable and crosstab-yVariable update; rendered header/body/footer match the expected aggregation for the selected axes.,,The sample-data spec picks stable available fields at runtime instead of hardcoding brittle labels.,2026-04-03
CT008,Crosstab Settings,Pivot,P1,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Pivot the Crosstab and confirm the axes swap without losing totals.,Widget state swaps; rendered table matches the expected swapped aggregation; footer total is preserved.,,,2026-04-03
CT009,Crosstab Settings,Counts vs proportion,P1,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Switch from Counts to Proportion and verify the Crosstab normalizes against the visible-node total.,crosstab-useProportion toggles; rendered table matches expected proportional values; footer total becomes 1.000.,,,2026-04-03
CT010,Crosstab Settings,Table size,P2,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/crosstab-view.cy.ts,Change the Crosstab table size and verify the component recomputes its stored sizing state.,selectedSize updates for Large and Small; scrollHeight recomputes when size changes.,,,2026-04-03
