id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
T001,Load Table,Distance edgelist launch then switch to Table,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload the distance edgelist, launch the network, switch to Table, and verify Nodes, Links, and Clusters populate from the loaded session.","Global stats match the uploaded load profile; Table datasets align with session.data nodes, links, and clusters; visible rows render on the active page.",,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T002,Load Table,Distance matrix launch then switch to Table,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload the distance matrix, launch the network, switch to Table, and verify Nodes, Links, and Clusters populate from the loaded session.","Global stats match the uploaded load profile; Table datasets align with session.data nodes, links, and clusters; visible rows render on the active page.",,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T003,Load Table,FASTA launch then switch to Table,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload FASTA, launch the network, switch to Table, and verify Nodes, Links, and Clusters populate from the loaded session.",Global stats match the uploaded load profile; sequence-derived links appear in the Links table; Cluster rows align with session.data.clusters.,,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T004,Load Table,Node list plus link list launch then switch to Table,P0,Covered,file-type,Smoke,node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload separate node and link CSVs, launch the network, switch to Table, and verify all three Table datasets populate coherently.",Merged uploaded data is reflected in Nodes and Links; Cluster rows are available; visible page rows render.,,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T005,Load Table,Sequence node list launch then switch to Table,P0,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload the sequence node list, let the app derive links, switch to Table, and verify all Table datasets populate coherently.",Derived links appear in the Links table; node and cluster row totals align with session.data; visible rows render.,,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T006,Load Table,Newick launch then switch to Table,P1,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload the Newick tree, launch the network, switch to Table, and verify parsed nodes, links, and clusters populate coherently.",Parsed Newick links appear in the Links table; node and cluster row totals align with session.data; visible rows render.,,Covered in the maintained uploaded-data Table smoke matrix.,2026-04-03
T007,Load Table,Large uploaded data switch to Table,P2,Covered,file-type,Smoke,large node + epi link,LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts,"Upload a larger dataset, launch the network, switch to Table, and verify the Table still renders coherent node, link, and cluster data.","Node, link, and cluster datasets all populate; first visible page renders without crashing; row totals align with session.data.",,"This keeps Table smoke honest on the larger maintained uploaded-data fixture, not only on small tables.",2026-04-03
T008,Table Controls,"Nodes, Links, and Clusters dataset switch",P0,Covered,feature-behavior,Behavior,uploaded node + link,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/table-selection-uploaded.cy.ts,Use the Table dataset switcher on uploaded data and verify each dataset view aligns with the loaded session arrays.,"TableType updates to node, link, and cluster; SelectedTableData lengths match session.data arrays; visible rows render after each switch.",,Covered on a small deterministic uploaded dataset.,2026-04-04
T009,Table Controls,Node filter on uploaded data,P0,Covered,file-type,Behavior,uploaded node + link,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/table-controls-uploaded.cy.ts,Filter the Nodes table by an uploaded node id and verify only the matching row stays visible.,The Id filter reduces the visible node rows to the expected entry and the rendered row contents match the filter value.,,Covered with the uploaded node id `D` filter path.,2026-04-03
T010,Table Controls,Link filter on uploaded data,P1,Covered,file-type,Behavior,uploaded node + link,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/table-controls-uploaded.cy.ts,"Switch to the Links dataset, filter by a visible link field, and verify the visible row count drops deterministically.",Filtering Source = `A` leaves exactly two visible link rows on the uploaded fixture.,,Covered on the same small uploaded dataset as the node filter path.,2026-04-03
T011,Table Controls,Node row selection and selected-row reorder,P0,Covered,feature-behavior,Behavior,uploaded node + link,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/table-selection-uploaded.cy.ts,"Click an uploaded node row, verify backing selection state updates, then clear the filter and verify the selected node remains at the top of the Table.","session.data.nodes contains only the clicked row as selected; once the filter clears, the selected node row is first in the visible table.",,This covers the Table-specific selected-row promotion behavior.,2026-04-04
