id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
E001,Load Epi Curve,Uploaded node + link smoke,P0,Covered,file-type,Smoke,node + link with date field,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/epi-curve-load-uploaded.cy.ts,"Launch uploaded node and distance-link data, switch into Epi Curve, and select Date of symptom onset Date.",Epi Curve opens; the uploaded symptom-onset field can be selected; rendered SVG bars appear; axis labels render on the uploaded-data path.,,This is the maintained uploaded-data Epi smoke baseline for the COVID symptom-onset fixture.,2026-04-03
E002,Load Epi Curve,Uploaded sequence node-list smoke,P0,Covered,file-type,Smoke,node with sequences and date field,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/epi-curve-load-uploaded.cy.ts,"Launch a sequence node list that can derive links, switch into Epi Curve, and select Diagnosis date.",Epi Curve opens; diagnosis-date bars render from uploaded sequence-node metadata; the uploaded path works without a separate link file.,,This covers the sequence-derived node-list launch path for Epi Curve.,2026-04-03
E003,Load Epi Curve,Uploaded matrix + node metadata smoke,P1,Covered,file-type,Smoke,matrix + node metadata,AngularTesting_DistanceMatrix_TN93_BS.xlsx; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/epi-curve-load-uploaded.cy.ts,"Launch an uploaded distance matrix merged with uploaded node metadata, switch into Epi Curve, and select Diagnosis date.",Diagnosis-date bars render after matrix launch; the node metadata merge survives into Epi Curve; uploaded matrix coverage is no longer 2D-only.,,This gives Epi Curve a maintained matrix-backed load path without needing a separate dedicated fixture family.,2026-04-03
E004,Load Epi Curve,Uploaded FASTA + node metadata smoke,P1,Covered,file-type,Smoke,fasta + node metadata,AngularTesting_seqs_TN93_BS.fasta; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/epi-curve-load-uploaded.cy.ts,"Launch uploaded FASTA merged with uploaded node metadata, switch into Epi Curve, and select Diagnosis date.",Diagnosis-date bars render after FASTA launch; the node metadata merge survives into Epi Curve; uploaded FASTA coverage is no longer 2D-only.,,This gives Epi Curve a maintained FASTA-backed load path without introducing a new synthetic fixture.,2026-04-03
E005,Load Epi Curve,Uploaded mixed-origin smoke,P1,Covered,file-type,Smoke,sequence node + epi link,AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/epi-curve-load-uploaded.cy.ts,"Launch uploaded mixed-origin node + epi-link data, switch into Epi Curve, and select Diagnosis date.",Diagnosis-date bars render on the mixed-origin launch path; the view remains usable when link origins are mixed.,,This keeps the mixed-origin upload path represented in the maintained Epi suite.,2026-04-03
E006,Export And Persistence,Uploaded Epi export to PNG,P1,Covered,file-type,Behavior,uploaded node + link with date field,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/epi-curve-export-uploaded.cy.ts,Open the uploaded Epi Curve export dialog and write a PNG file to downloads.,The export dialog opens; writing a non-empty PNG file into cypress/downloads succeeds on uploaded data.,,This is the maintained uploaded-data PNG export baseline for Epi Curve.,2026-04-03
E007,Export And Persistence,Uploaded Epi export to SVG,P1,Covered,file-type,Behavior,uploaded node + link with date field,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/epi-curve-export-uploaded.cy.ts,Open the uploaded Epi Curve export dialog and write an SVG file to downloads.,The export dialog opens; writing an SVG file containing `<svg` into cypress/downloads succeeds on uploaded data.,,This is the maintained uploaded-data SVG export baseline for Epi Curve.,2026-04-03
E008,Epi Curve Settings,Single-date controls,P2,Legacy-only,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/timeline-epicurve-view.cy.ts,"Exercise single-date Epi settings such as bin size, cumulative mode, legend positioning, and label sizing.","The sample-data Epi spec covers SVG bar updates, axis label sizing, legend visibility and placement, and cumulative versus noncumulative transitions.",,"Useful view-mechanics coverage exists, but it is still sample-data-only.",2026-04-03
E009,Styling,Cluster and node-color interactions,P2,Legacy-only,feature-behavior,Combo,sample dataset,demo session sample dataset,cypress/e2e/view-state/timeline-epicurve-view.cy.ts,Color Epi Curve by Cluster or Node Color on sample data and verify the bars react to filtering and global styling changes.,The sample-data spec covers cluster-color recompute after threshold changes and the Node Color path after global node-color edits.,,"This is a high-value uploaded-data migration target, but it is not yet in the maintained journeys suite.",2026-04-03
E010,Multi Date,Side-by-side and overlay controls,P2,Legacy-only,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/timeline-epicurve-view.cy.ts,Exercise the multi-date Epi graph types with independent date fields and colors.,"The sample-data spec covers side-by-side and overlay graph types, per-field colors, legend placement, and cumulative toggling.",,This remains sample-data-only until a stable uploaded-data migration is added.,2026-04-03
