id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
M001,Load Map,Uploaded node + link launch then switch to Map with zipcode mapping,P0,Covered,file-type,Smoke,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts,"Load uploaded node and distance-link files, launch the network, switch to Map, and map nodes by zipcode.",Map view opens; zipcode field maps to Zip_code; global stats render; Map layer counts can be asserted deterministically after configuration.,,This is the maintained uploaded-data Map smoke baseline and runs in the regular journeys/flows suite.,2026-04-02
M002,Map Data,Excluded nodes without location data,P0,Covered,feature-behavior,Behavior,node + link with partial zipcode coverage,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts,"After selecting zipcode mapping, verify nodes lacking location data are omitted from Map rendering and listed in the Excluded Nodes dialog.","Excluded node count shows 3; the dialog lists P1, P2, and P3; omitted nodes are absent from rendered Map node layers.",,This specifically covers the Map-only omission path rather than general network visibility.,2026-04-02
M003,Filtering,Threshold round-trip on Map,P0,Covered,feature-behavior,Behavior,uploaded SNP node + distance link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts,"Change the distance threshold while Map is active, verify rendered link counts update, then restore the original threshold.",Map rendered logical link count moves from 46 to 73 and back to 46; rendered located node count stays 30; the global visible-link metric stays in sync.,,Threshold 24 resolves to 73 logical visible links here because the CSV contains one duplicate undirected pair.,2026-04-02
M004,Map Data,Uploaded latitude/longitude mapping,P1,Covered,file-type,Behavior,node with lat/lon columns,AngularTesting_nodes_Map.csv,cypress/e2e/journeys/flows/map-lat-long-uploaded.cy.ts,Load uploaded coordinates directly through latitude and longitude fields instead of zipcode lookup.,Map renders nodes from explicit coordinates; rendered Leaflet marker coordinates match the uploaded lat/long values exactly; excluded-node handling stays coherent on the zero-excluded path.,,"The AngularTesting map node fixture already provides a small deterministic explicit-coordinate path, so no extra fixture was needed.",2026-04-02
M005,Map Settings,Node collapsing on/off,P1,Covered,feature-behavior,Behavior,uploaded node + link with zipcode mapping,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-controls-uploaded.cy.ts,Toggle node collapsing on uploaded data and verify Map switches between clustered and uncollapsed node rendering without changing logical membership.,"With zipcode mapping active, uncollapsed mode renders 30 nodes through the feature group; collapsed mode moves those same 30 nodes into the marker-cluster group; restoring Off returns feature-group rendering.",,This migrates the highest-value collapsing behavior out of the old sample-data spec into the maintained uploaded-data journeys run.,2026-04-02
M006,Map Settings,Node transparency,P1,Covered,lib-related,Behavior,uploaded node + link with zipcode mapping,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-controls-uploaded.cy.ts,Adjust Map node transparency on uploaded data and verify the rendered Leaflet node layers update without changing membership.,map-node-transparency updates in session widgets; rendered node stroke and fill opacity drop from 1 to 0.25; node membership remains stable.,,Covered alongside collapsing and visibility controls in the maintained uploaded-data Map controls journey.,2026-04-02
M007,Map Settings,Link transparency,P1,Covered,lib-related,Behavior,uploaded node + link with zipcode mapping,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-controls-uploaded.cy.ts,Adjust Map link transparency on uploaded data and verify the rendered Leaflet link layers update without changing membership.,map-link-transparency updates in session widgets; rendered link opacity drops from 1 to 0.25; logical rendered link count stays stable.,,Covered alongside collapsing and visibility controls in the maintained uploaded-data Map controls journey.,2026-04-02
M008,Map Settings,Node and link hide/show,P1,Covered,lib-related,Behavior,uploaded node + link with zipcode mapping,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-controls-uploaded.cy.ts,Hide and restore nodes and links on uploaded Map data.,Hiding links detaches only the link layer; hiding nodes clears only the node-rendering layer; showing them again restores the prior rendered state.,,"This keeps the assertions deterministic by targeting uploaded data, zipcode mapping, and direct Leaflet layer state instead of sample-data-only view-state coverage.",2026-04-02
M009,Timeline,Deterministic Map timeline checkpoints,P1,Covered,feature-behavior,Combo,node + link with date field,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-timeline-oracle.cy.ts,Apply Timeline while Map is active and assert deterministic Map node and link membership at exact checkpoints.,Global timeline stats stay aligned with the oracle; rendered Map nodes and logical links match the oracle after filtering out nodes without zipcode data.,,This reuses the existing timeline oracle snapshots and adds the Map-specific zipcode visibility layer on top.,2026-04-02
M010,Styling,Uploaded node and link color mappings on Map,P1,Covered,file-type,Behavior,uploaded node + link with categorical node and link fields,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/map-color-by-uploaded.cy.ts,Set Color Nodes By and Color Links By from Global Settings on uploaded data while Map is active and verify Leaflet rendering reflects the selected categorical variables.,Rendered Map node fill colors differ by Profession; rendered Map link colors differ by Contact type; the corresponding color tables appear and stay aligned with the chosen variables.,,This is the maintained uploaded-data Map color baseline.,2026-04-02
