id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
H001,Load Heatmap,Uploaded SNP distance edgelist,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load an uploaded SNP distance edgelist, launch the network, switch to Heatmap, and verify the rendered Plotly matrix matches the backing distance matrix.",Heatmap opens; SNPS metric label renders; Plotly x/y/z state matches commonService.getDM() for the uploaded edgelist.,,This is the maintained Heatmap edgelist baseline.,2026-04-03
H002,Load Heatmap,Uploaded TN93 distance matrix,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load an uploaded TN93 distance matrix, launch the network, switch to Heatmap, and verify the rendered Plotly matrix matches the backing distance matrix.",Heatmap opens; TN93 metric label renders; Plotly x/y/z state matches commonService.getDM() for the uploaded matrix.,,This is the maintained Heatmap controls/export fixture as well as a file-type smoke baseline.,2026-04-03
H003,Load Heatmap,Uploaded FASTA,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load uploaded FASTA, let the app derive distances, switch to Heatmap, and verify the Plotly matrix matches the derived distance matrix.",Heatmap opens; SNPS metric label renders; Plotly x/y/z state matches commonService.getDM() for the derived FASTA distances.,,This keeps Heatmap covered on a sequence-derived SNP path rather than only on precomputed matrices.,2026-04-03
H004,Load Heatmap,Uploaded node + link files,P0,Covered,file-type,Smoke,node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load separate node and link files, switch to Heatmap, and verify the Plotly matrix matches the merged uploaded data.",Heatmap opens; Plotly x/y/z state matches commonService.getDM() after node/link merge; launch metrics stay stable.,,This covers the merged uploaded-file path instead of only single-file inputs.,2026-04-03
H005,Load Heatmap,Uploaded sequence node list,P0,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load a node list with sequences, let the app derive TN93 distances, switch to Heatmap, and verify the Plotly matrix matches the derived matrix.",Heatmap opens; TN93 metric label renders; Plotly x/y/z state matches commonService.getDM() for the derived sequence-node-list path.,,This closes the sequence-node-list gap for Heatmap load coverage.,2026-04-03
H006,Load Heatmap,Uploaded Newick,P1,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/upload-launch-heatmap.cy.ts,"Load an uploaded Newick tree, switch to Heatmap, and verify the Plotly matrix matches the patristic matrix returned by getDM().",Heatmap opens; Plotly z state matches commonService.getDM() for the Newick path; launch metrics stay coherent.,,"Newick labels remain governed by the current getDM() behavior, so the maintained assertion compares against the app's backing matrix rather than assuming extra label normalization.",2026-04-03
H007,Heatmap Settings,Invert X and Invert Y,P1,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,"Open Heatmap Settings, invert the X and Y axes, and verify the rendered Plotly matrix reorders consistently with the backing matrix.",heatmap-invertX and heatmap-invertY widgets update to true; Plotly x and y labels reverse in the expected direction; Plotly z rows and columns reverse coherently.,,The maintained control path uses the TN93 matrix fixture for fast deterministic comparisons against getDM().,2026-04-03
H008,Heatmap Settings,Show Labels persistence,P1,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Enable Show Labels in Heatmap Settings and verify the widget state and Plotly axis-label visibility persist coherently.,heatmap-axislabels-show updates to true; Plotly xaxis/yaxis showticklabels switches on; reopening Heatmap Settings preserves the enabled state.,,Closed HBG001 while wiring this path: the rendered state used to change without persisting the widget.,2026-04-03
H009,Heatmap Settings,Color scale updates,P1,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,"Change the low, medium, and high Heatmap colors and verify the Plotly colorscale updates.","heatmap-color-low, heatmap-color-medium, and heatmap-color-high widgets update; the rendered Plotly trace colorscale matches the selected colors.",,This is the maintained Heatmap color-settings regression signal.,2026-04-03
H010,Export And Persistence,Heatmap export to SVG,P1,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Export the Heatmap view as SVG.,Export Heatmap writes a non-empty SVG file into cypress/downloads/.,,Closed HBG002 while wiring this path: export needed a guard for non-gradient Plotly content.,2026-04-03
H011,Export And Persistence,Distance matrix export to CSV,P1,Covered,file-type,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Export the current Heatmap distance matrix as CSV with labels enabled.,The exported CSV payload matches the rendered Plotly header labels row labels and matrix values when Show Labels is enabled.,,This is Heatmap-specific export coverage rather than general network export coverage.,2026-04-03
H012,Load Heatmap,Direct file launch to Heatmap default view,P2,Covered,file-type,Smoke,all Heatmap-capable inputs,all Heatmap-capable Heatmap fixtures,cypress/e2e/journeys/flows/heatmap-direct-launch-uploaded.cy.ts,Set File Settings default view to Heatmap before launch and confirm the uploaded dataset reaches an interactive Heatmap without requiring a manual view switch.,The Processing Files overlay should clear and Heatmap should become interactive directly on launch.,,File Settings now exposes Heatmap as a launch target and the maintained direct-launch matrix covers all Heatmap-capable uploaded fixture paths.,2026-04-03
H013,Heatmap Controls,Center Screen after viewport interaction,P1,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,"Pan or zoom the rendered Plotly Heatmap, then use Center Screen and verify the baseline autorange is restored.",Rendered xaxis and yaxis autorange returns to the baseline centered state after Center Screen; the matrix membership and metric label remain unchanged.,,This closes the last Heatmap toolbar-control gap in the maintained uploaded-data suite.,2026-04-03
H014,Export And Persistence,Heatmap export to PNG,P2,Covered,file-type,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Export the Heatmap view as PNG from the real export dialog.,Export Heatmap writes a non-empty PNG file into cypress/downloads/ and the artifact has the expected PNG signature.,,PNG now has maintained uploaded-data coverage alongside SVG and JPEG.,2026-04-03
H015,Export And Persistence,Heatmap export to JPEG,P2,Covered,file-type,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Export the Heatmap view as JPEG from the real export dialog.,Export Heatmap writes a non-empty JPEG file into cypress/downloads/ and the artifact has the expected JPEG signature.,,JPEG now has maintained uploaded-data coverage alongside SVG and PNG.,2026-04-03
H016,Export And Persistence,Distance matrix export to CSV without labels,P1,Covered,syntax,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,Export the current Heatmap distance matrix as CSV with Show Labels disabled.,The exported CSV payload has no leading header row or label column and its numeric matrix matches the rendered Plotly trace when labels are hidden.,,Closed HBG003 while wiring this path: the export logic now serializes the active Heatmap state instead of only the base matrix order.,2026-04-03
H017,Export And Persistence,Distance matrix export respects active axis inversion,P1,Covered,syntax,Contract,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,"Invert X and/or Y in Heatmap Settings, export the distance matrix, and verify the CSV reflects the same label ordering and value orientation shown in the rendered Heatmap.",Exported CSV header labels and row labels follow the active inverted axes; exported numeric cells align with the rendered Plotly x and y ordering rather than only the base getDM() order.,,Closed HBG003 while wiring this path: the maintained regression now compares the exported CSV payload directly to the rendered Plotly trace.,2026-04-03
H018,Cross-Feature,Post-launch distance metric switch while Heatmap is active,P1,Covered,file-type,Combo,fasta; node with sequences,SARSCoV2_Simulated_Sequences_snp.fas; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/heatmap-metric-switch-uploaded.cy.ts,"Launch sequence-derived data into Heatmap, switch the default distance metric after launch, and verify the rendered Plotly matrix and metric label recompute coherently.",default-distance-metric updates; the Current Distance Metric label changes; Plotly x/y/z state matches the recomputed commonService.getDM() after the switch.,,Closed HBG004 while wiring this path: active Heatmap now redraws on network updates instead of staying stale until manual refresh.,2026-04-03
H019,General Settings,Background color and contrast on Heatmap,P2,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-background-uploaded.cy.ts,Change the global background color while Heatmap is active and verify the computed contrast restyles axis text coherently.,Plotly main SVG background and rect.bg fill follow background-color; axis text follows the computed background-color-contrast; Heatmap remains interactive after the styling update.,,Global background changes now republish visualization updates so active Heatmap tabs restyle without a manual reopen.,2026-04-03
H020,Export And Persistence,Heatmap tab reopen persistence,P2,Covered,lib-related,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-controls-uploaded.cy.ts,"Change Heatmap-specific settings, close the Heatmap tab or switch away, then reopen Heatmap and verify the prior widget state is reapplied.","The reopened Heatmap honors invert axes label visibility and chosen colors from session.style.widgets; the rendered Plotly trace still matches getDM() under those settings.",,Heatmap now has maintained uploaded-data tab-persistence coverage in the controls journey.,2026-04-03
H021,Session,Session save and reload round-trip for Heatmap,P2,Covered,file-type,Behavior,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/heatmap-session-roundtrip.cy.ts,"Configure Heatmap-specific settings, save a .microbetrace session, reload the app, reopen the saved session, and verify Heatmap state is restored.","The saved session restores heatmap-invertX, heatmap-invertY, heatmap-axislabels-show, and Heatmap colors; the reopened Heatmap renders the same Plotly ordering and colorscale as before save.",,This extends the maintained session round-trip pattern to Heatmap widget state and saved-session reloads.,2026-04-03
H022,Load Heatmap,Large dataset Heatmap smoke,P2,Covered,file-type,Smoke,node with sequences,LargeDataSet_Test_sequences_node.csv,cypress/e2e/journeys/flows/heatmap-large-uploaded.cy.ts,"Load a larger Heatmap-capable dataset, switch to Heatmap, and verify Plotly renders without hanging or crashing.",Heatmap becomes interactive within the timeout; a large Plotly trace exists with the expected dimensions; global stats remain populated; the export dialog still opens.,,This adds a maintained scale sentinel beyond the small deterministic Heatmap fixtures.,2026-04-03
H023,View State,Dedicated sample-data Heatmap smoke,P2,Covered,lib-related,Smoke,sample dataset,demo session sample dataset,cypress/e2e/view-state/heatmap-view.cy.ts,Open the built-in sample session in Heatmap and exercise a minimal view-state smoke pass.,The Heatmap tab opens on sample data; settings and export dialogs open; the Plotly trace remains interactive after a settings change.,,This adds a separate sample-session sentinel alongside the uploaded-data-first Heatmap journeys.,2026-04-03
