id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
W001,Load Waterfall,Distance edgelist load,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load a distance edgelist, launch the network, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,Covered through the maintained uploaded-data Waterfall load matrix.,2026-04-03
W002,Load Waterfall,Distance matrix load,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load a distance matrix, launch the network, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,Covered through the maintained uploaded-data Waterfall load matrix.,2026-04-03
W003,Load Waterfall,FASTA load,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load FASTA data, let the app derive links, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,Covered through the maintained uploaded-data Waterfall load matrix.,2026-04-03
W004,Load Waterfall,Node list plus link list load,P0,Covered,file-type,Smoke,node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load separate node and link files, switch to Waterfall, and confirm the merged uploaded network renders through the cluster summary table.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,The maintained Waterfall smoke uses the small uploaded style fixture for this path without depending on the style behavior itself.,2026-04-03
W005,Load Waterfall,Sequence node list load,P1,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load a sequence node list, let the app derive links, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,This keeps the sequence-node-only launch path in the maintained Waterfall matrix.,2026-04-03
W006,Load Waterfall,Newick load,P1,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load a Newick tree, launch the network, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,This keeps the tree-derived uploaded path in the maintained Waterfall matrix.,2026-04-03
W007,Load Waterfall,Mixed-origin sequence node list plus epi link list load,P1,Covered,file-type,Smoke,sequence node + epi link,AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/waterfall-load-uploaded.cy.ts,"Load a mixed-origin uploaded network, switch to Waterfall, and confirm the cluster summary table renders.",Global stats stay coherent; Waterfall opens; rendered cluster rows match the session cluster ids and node counts.,,This keeps the merged mixed-origin upload path in the maintained Waterfall matrix.,2026-04-03
W008,Waterfall Interaction,Cluster row selection populates node table,P0,Covered,feature-behavior,Behavior,distance edgelist,AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/waterfall-drilldown-uploaded.cy.ts,Select a Waterfall cluster row on uploaded data and verify the node table populates with the matching cluster members.,selectedClusterRow matches the clicked cluster; node-table row count matches the selected cluster size; rendered degree values stay aligned with the selected cluster members.,,Covered with a small uploaded TN93 distance edgelist so cluster sizes and degrees remain deterministic.,2026-04-03
W009,Waterfall Interaction,Node row selection populates link table,P0,Covered,feature-behavior,Behavior,distance edgelist,AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/waterfall-drilldown-uploaded.cy.ts,"After selecting a cluster row, select a node row and verify the Waterfall link table lists the visible incident links.",selectedNodeRow matches the clicked node; link-table row count matches the node degree; rendered peer id and distance cells match the selected node's visible links.,,Covered in the same maintained drilldown journey as the cluster-selection path.,2026-04-03
W010,Waterfall Interaction,Link row selection updates Waterfall state,P1,Covered,feature-behavior,Behavior,distance edgelist,AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/waterfall-drilldown-uploaded.cy.ts,Select a Waterfall link row and verify the component records the chosen visible link.,selectedLinkRow.index matches the clicked link row and the rendered distance cell stays aligned with that selected visible link.,,This is the current maintained end-to-end signal for the deepest Waterfall drilldown level.,2026-04-03
