id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
AG001,Load Aggregate,Distance edgelist aggregate launch,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load an uploaded distance edgelist, switch to Aggregate, and confirm the default `Node-cluster` summary matches the visible network.",Rendered Aggregate rows match visible node cluster membership; Aggregate opens successfully after uploaded launch.,,Covered on the maintained SNP edgelist smoke profile,2026-04-03
AG002,Load Aggregate,Distance matrix aggregate launch,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load an uploaded distance matrix, switch to Aggregate, and confirm the default summary renders correctly.",Rendered Aggregate rows match visible node cluster membership; Aggregate opens successfully after uploaded launch.,,Covered on the maintained matrix smoke profile,2026-04-03
AG003,Load Aggregate,FASTA aggregate launch,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load uploaded FASTA input, let the app derive links, switch to Aggregate, and confirm the default summary renders correctly.",Rendered Aggregate rows match visible node cluster membership after sequence-derived link generation.,,Covered on the maintained FASTA smoke profile,2026-04-03
AG004,Load Aggregate,Node plus link launch with uploaded node field aggregation,P0,Covered,file-type,Behavior,node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load uploaded node and link files, switch to Aggregate, add a second table, and aggregate by an uploaded node categorical field.",Second-table `Node-Node type` rows match the visible uploaded node values; Aggregate remains aligned with the visible network after the field change.,,This is the maintained uploaded node+link Aggregate smoke with a clean categorical node field,2026-04-03
AG005,Load Aggregate,Sequence node list launch with subtype aggregation,P1,Covered,file-type,Behavior,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load an uploaded node list with sequences, derive links, switch to Aggregate, and aggregate by `Subtype`.",Second-table `Node-subtype` rows match the visible uploaded node subtype values after sequence-derived link generation.,,Covered on the maintained sequence-node smoke profile,2026-04-03
AG006,Load Aggregate,Newick aggregate launch,P1,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Load uploaded Newick input, switch to Aggregate, and confirm the default summary renders correctly.",Rendered Aggregate rows match visible node cluster membership; Aggregate opens successfully after uploaded Newick launch.,,Covered on the maintained AngularTesting Newick smoke profile,2026-04-03
AG007,Aggregate Settings,Sample-data field switch and add-table flow,P1,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/aggregate-view.cy.ts,On the seeded sample dataset switch the first Aggregate table to another field and add a second table.,Rendered Aggregate rows match the selected `Node-degree` and `Link-distance` summaries after the settings changes.,,This keeps the pure Aggregate table mechanics in the view-state bucket,2026-04-03
AG008,Aggregate Settings,Sample-data delete-table flow,P1,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/aggregate-view.cy.ts,After adding a second Aggregate table delete it again and confirm only the original table remains.,Aggregate table count returns from two tables to one; the remaining table still matches the selected field.,,Covered with the maintained sample-data settings journey,2026-04-03
AG009,Aggregate Export,JSON XLSX CSV zip and PDF export,P1,Covered,file-type,Behavior,uploaded node + link,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Export Aggregate summaries as JSON, XLSX, CSV zip, and PDF on uploaded data.",JSON payload shape is correct; XLSX workbook contains the expected sheets; CSV zip contains the expected files; PDF artifact writes with a valid signature.,,Covered on uploaded Aggregate data with two tables selected before export,2026-04-03
AG010,Aggregate Settings,Sparse categorical node-field normalization,P1,Covered,feature-behavior,Behavior,uploaded node + link with sparse categorical node field,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts,"Aggregate by `Profession` on uploaded node+link data and confirm missing values, blank strings, and whitespace-sensitive values resolve into stable visible buckets.",The rendered table does not show duplicate visible `null` rows; category labels normalize consistently into unique visible buckets.,,Covered with the maintained uploaded Aggregate `Profession` normalization repro after fixing `ABG001`.,2026-04-03
AG011,Aggregate Settings,Table reorder controls,P2,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/aggregate-view.cy.ts,Reorder Aggregate tables through the settings OrderList controls and confirm both the dialog order and rendered table order update together.,The settings dialog field order updates immediately and the rendered table titles and rows follow the same new order without corrupting table contents.,,Covered on the maintained sample-data Aggregate view-state journey through PrimeNG OrderList move controls.,2026-04-03
AG012,Aggregate Settings,Default Add Table uses Node-selected,P2,Covered,feature-behavior,Behavior,sample dataset; uploaded data,demo session sample dataset; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/view-state/aggregate-view.cy.ts,"Click Add Table without changing the new field and confirm the added table initially aggregates `Node-selected`. On uploaded data, optionally select nodes before opening Aggregate and verify the selected-state buckets respond.",The second table defaults to `Node-selected`; selected and unselected counts match the visible node model.,,Covered on the maintained sample-data Aggregate settings journey.,2026-04-03
AG013,Aggregate Settings,Cluster dataset field group and rendering,P1,Covered,feature-behavior,Behavior,sample dataset; clustered uploaded data,demo session sample dataset; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,"Open Aggregate Settings, verify the `Cluster` option group is present, select real `Cluster-*` fields, and confirm the rendered rows match `getVisibleClusters()`.",Cluster option group is visible; selected `Cluster-*` rows match visible cluster objects; headers switch to cluster-specific labels.,,Covered with the maintained uploaded clustered-data Aggregate controls journey on `Cluster-nodes` and `Cluster-links`.,2026-04-03
AG014,Aggregate Reactivity,Cluster-based tables refresh after reclustering,P1,Covered,feature-behavior,Behavior,clustered uploaded network,AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,"Keep Aggregate open on `Node-cluster` or a `Cluster-*` table, change threshold or Minimum Cluster Size so visible cluster membership changes, and confirm the table refreshes automatically.",Visible Aggregate rows update without reopening the view; counts and percentages match the new cluster state.,,Covered after fixing open Aggregate refresh on network/filter updates; the Minimum Cluster Size repro now stays green.,2026-04-03
AG015,Aggregate Reactivity,Node and link tables track non-cluster filtering changes,P1,Covered,feature-behavior,Behavior,distance network; node + link,Cypress_FilterMetricNodes.csv; Cypress_FilterMetricLinks.csv,cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,"While Aggregate is open on `Link-distance` or another non-cluster field, change filtering or visibility so visible links or nodes change and confirm the table stays in sync.",Aggregate rows continue to match `getVisibleLinks()` or `getVisibleNodes()` after filtering changes without requiring manual view re-entry.,,Covered after fixing open Aggregate refresh on general node/link visibility updates.,2026-04-03
AG017,Aggregate Table,Header sorting behavior,P2,Covered,feature-behavior,Behavior,sample dataset; uploaded data,demo session sample dataset; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/view-state/aggregate-view.cy.ts,"Click the Aggregate header cells for group name, count, and percent and confirm ascending and descending sorts reorder rows correctly.",Rendered row order changes as expected for each sortable column and no rows disappear or duplicate during sorting.,,Covered on the maintained sample-data Aggregate view-state journey.,2026-04-03
AG018,Aggregate Export,Export with reordered tables and Cluster tables,P2,Covered,file-type,Behavior,clustered uploaded data,AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/aggregate-export-uploaded.cy.ts,"Create multiple Aggregate tables including a `Cluster-*` table, reorder them, export, and confirm artifact labels and table order match the rendered UI order.","Exported JSON, XLSX, CSV zip, and PDF preserve the same table labels and order shown in the Aggregate UI after reorder.",,Covered with the maintained reordered Aggregate export journey via the component reorder path; separate settings-control reorder coverage is maintained in `AG011`.,2026-04-03
AG019,Aggregate Settings,Field option hygiene and internal-field exclusion,P2,Covered,feature-behavior,Behavior,sample dataset; uploaded node + link,demo session sample dataset; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,"Inspect Aggregate field options and confirm expected uploaded node, link, and cluster fields are offered while internal fields like `seq`, `_id`, `index`, `origin`, `nearest neighbor`, and `nn` stay hidden.","Node, Link, and Cluster groups contain user-facing fields only; filtered internal fields do not appear.",,Covered on the maintained uploaded Aggregate controls journey using the categorical node+link fixture.,2026-04-03
AG020,Aggregate Layout,Hide/show and resize resilience,P2,Covered,feature-behavior,Behavior,sample dataset,demo session sample dataset,cypress/e2e/view-state/aggregate-view.cy.ts,Hide and show the Aggregate pane or resize its container and confirm the tables remain visible with recalculated widths and no clipped dialog state.,Table container height and column widths update; Aggregate remains interactive after the pane is shown again.,,"Covered on the maintained sample-data Aggregate view-state journey by exercising the GoldenLayout `resize`, `hide`, and `show` handlers.",2026-04-03
AG021,Load Aggregate,Large dataset aggregate smoke,P2,Covered,file-type,Smoke,large node + epi link,LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv,cypress/e2e/journeys/flows/aggregate-large-uploaded.cy.ts,"Load the large maintained network, switch to Aggregate, and confirm the default summary renders without hanging or collapsing the UI.",Aggregate opens successfully on the large dataset; at least one table renders with non-zero rows; export remains reachable.,,Covered with a maintained large-network Aggregate smoke that also opens the export dialog.,2026-04-03
AG022,Timeline,Timeline isolation for Aggregate node and link datasets,P1,Covered,feature-behavior,Combo,uploaded node + link with date field,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/timeline-non-target-view-isolation-uploaded.cy.ts,"Keep Aggregate open on `Node-cluster` and `Link-distance`, then enable Timeline and move to a deterministic uploaded checkpoint that changes global visible membership.",Global node and visible-link metrics change to the checkpoint values while Aggregate node and link rows remain equal to the pre-timeline baseline.,,Covered by the maintained non-target timeline isolation journey after Aggregate switched to the timeline-ignoring dataset getters.,2026-04-10
