source,target,distance,link_type
N0001,N0002,0.0051,ring
N0002,N0003,0.0088,ring
N0003,N0004,0.0125,ring
N0004,N0005,0.0022,ring
N0005,N0006,0.0059,ring
N0006,N0007,0.0096,ring
N0007,N0008,0.0133,ring
N0008,N0009,0.0030,ring
N0009,N0010,0.0067,ring
N0010,N0011,0.0104,ring
N0011,N0012,0.0001,ring
N0012,N0013,0.0038,ring
N0013,N0014,0.0075,ring
N0014,N0015,0.0112,ring
N0015,N0016,0.0009,ring
N0016,N0017,0.0046,ring
N0017,N0018,0.0083,ring
N0018,N0019,0.0120,ring
N0019,N0020,0.0017,ring
N0020,N0021,0.0054,ring
N0021,N0022,0.0091,ring
N0022,N0023,0.0128,ring
N0023,N0024,0.0025,ring
N0024,N0025,0.0062,ring
N0025,N0026,0.0099,ring
N0026,N0027,0.0136,ring
N0027,N0028,0.0033,ring
N0028,N0029,0.0070,ring
N0029,N0030,0.0107,ring
N0030,N0031,0.0004,ring
N0031,N0032,0.0041,ring
N0032,N0033,0.0078,ring
N0033,N0034,0.0115,ring
N0034,N0035,0.0012,ring
N0035,N0036,0.0049,ring
N0036,N0037,0.0086,ring
N0037,N0038,0.0123,ring
N0038,N0039,0.0020,ring
N0039,N0040,0.0057,ring
N0040,N0041,0.0094,ring
N0041,N0042,0.0131,ring
N0042,N0043,0.0028,ring
N0043,N0044,0.0065,ring
N0044,N0045,0.0102,ring
N0045,N0046,0.0139,ring
N0046,N0047,0.0036,ring
N0047,N0048,0.0073,ring
N0048,N0049,0.0110,ring
N0049,N0050,0.0007,ring
N0050,N0051,0.0044,ring
N0051,N0052,0.0081,ring
N0052,N0053,0.0118,ring
N0053,N0054,0.0015,ring
N0054,N0055,0.0052,ring
N0055,N0056,0.0089,ring
N0056,N0057,0.0126,ring
N0057,N0058,0.0023,ring
N0058,N0059,0.0060,ring
N0059,N0060,0.0097,ring
N0060,N0061,0.0134,ring
N0061,N0062,0.0031,ring
N0062,N0063,0.0068,ring
N0063,N0064,0.0105,ring
N0064,N0065,0.0002,ring
N0065,N0066,0.0039,ring
N0066,N0067,0.0076,ring
N0067,N0068,0.0113,ring
N0068,N0069,0.0010,ring
N0069,N0070,0.0047,ring
N0070,N0071,0.0084,ring
N0071,N0072,0.0121,ring
N0072,N0073,0.0018,ring
N0073,N0074,0.0055,ring
N0074,N0075,0.0092,ring
N0075,N0076,0.0129,ring
N0076,N0077,0.0026,ring
N0077,N0078,0.0063,ring
N0078,N0079,0.0100,ring
N0079,N0080,0.0137,ring
N0080,N0081,0.0034,ring
N0081,N0082,0.0071,ring
N0082,N0083,0.0108,ring
N0083,N0084,0.0005,ring
N0084,N0085,0.0042,ring
N0085,N0086,0.0079,ring
N0086,N0087,0.0116,ring
N0087,N0088,0.0013,ring
N0088,N0089,0.0050,ring
N0089,N0090,0.0087,ring
N0090,N0091,0.0124,ring
N0091,N0092,0.0021,ring
N0092,N0093,0.0058,ring
N0093,N0094,0.0095,ring
N0094,N0095,0.0132,ring
N0095,N0096,0.0029,ring
N0096,N0097,0.0066,ring
N0097,N0098,0.0103,ring
N0098,N0099,0.0140,ring
N0099,N0100,0.0037,ring
N0100,N0101,0.0074,ring
N0101,N0102,0.0111,ring
N0102,N0103,0.0008,ring
N0103,N0104,0.0045,ring
N0104,N0105,0.0082,ring
N0105,N0106,0.0119,ring
N0106,N0107,0.0016,ring
N0107,N0108,0.0053,ring
N0108,N0109,0.0090,ring
N0109,N0110,0.0127,ring
N0110,N0111,0.0024,ring
N0111,N0112,0.0061,ring
N0112,N0113,0.0098,ring
N0113,N0114,0.0135,ring
N0114,N0115,0.0032,ring
N0115,N0116,0.0069,ring
N0116,N0117,0.0106,ring
N0117,N0118,0.0003,ring
N0118,N0119,0.0040,ring
N0119,N0120,0.0077,ring
N0120,N0121,0.0114,ring
N0121,N0122,0.0011,ring
N0122,N0123,0.0048,ring
N0123,N0124,0.0085,ring
N0124,N0125,0.0122,ring
N0125,N0126,0.0019,ring
N0126,N0127,0.0056,ring
N0127,N0128,0.0093,ring
N0128,N0129,0.0130,ring
N0129,N0130,0.0027,ring
N0130,N0131,0.0064,ring
N0131,N0132,0.0101,ring
N0132,N0133,0.0138,ring
N0133,N0134,0.0035,ring
N0134,N0135,0.0072,ring
N0135,N0136,0.0109,ring
N0136,N0137,0.0006,ring
N0137,N0138,0.0043,ring
N0138,N0139,0.0080,ring
N0139,N0140,0.0117,ring
N0140,N0141,0.0014,ring
N0141,N0142,0.0051,ring
N0142,N0143,0.0088,ring
N0143,N0144,0.0125,ring
N0144,N0145,0.0022,ring
N0145,N0146,0.0059,ring
N0146,N0147,0.0096,ring
N0147,N0148,0.0133,ring
N0148,N0149,0.0030,ring
N0149,N0150,0.0067,ring
N0150,N0151,0.0104,ring
N0151,N0152,0.0001,ring
N0152,N0153,0.0038,ring
N0153,N0154,0.0075,ring
N0154,N0155,0.0112,ring
N0155,N0156,0.0009,ring
N0156,N0157,0.0046,ring
N0157,N0158,0.0083,ring
N0158,N0159,0.0120,ring
N0159,N0160,0.0017,ring
N0160,N0161,0.0054,ring
N0161,N0162,0.0091,ring
N0162,N0163,0.0128,ring
N0163,N0164,0.0025,ring
N0164,N0165,0.0062,ring
N0165,N0166,0.0099,ring
N0166,N0167,0.0136,ring
N0167,N0168,0.0033,ring
N0168,N0169,0.0070,ring
N0169,N0170,0.0107,ring
N0170,N0171,0.0004,ring
N0171,N0172,0.0041,ring
N0172,N0173,0.0078,ring
N0173,N0174,0.0115,ring
N0174,N0175,0.0012,ring
N0175,N0176,0.0049,ring
N0176,N0177,0.0086,ring
N0177,N0178,0.0123,ring
N0178,N0179,0.0020,ring
N0179,N0180,0.0057,ring
N0180,N0181,0.0094,ring
N0181,N0182,0.0131,ring
N0182,N0183,0.0028,ring
N0183,N0184,0.0065,ring
N0184,N0185,0.0102,ring
N0185,N0186,0.0139,ring
N0186,N0187,0.0036,ring
N0187,N0188,0.0073,ring
N0188,N0189,0.0110,ring
N0189,N0190,0.0007,ring
N0190,N0191,0.0044,ring
N0191,N0192,0.0081,ring
N0192,N0193,0.0118,ring
N0193,N0194,0.0015,ring
N0194,N0195,0.0052,ring
N0195,N0196,0.0089,ring
N0196,N0197,0.0126,ring
N0197,N0198,0.0023,ring
N0198,N0199,0.0060,ring
N0199,N0200,0.0097,ring
N0200,N0201,0.0134,ring
N0201,N0202,0.0031,ring
N0202,N0203,0.0068,ring
N0203,N0204,0.0105,ring
N0204,N0205,0.0002,ring
N0205,N0206,0.0039,ring
N0206,N0207,0.0076,ring
N0207,N0208,0.0113,ring
N0208,N0209,0.0010,ring
N0209,N0210,0.0047,ring
N0210,N0211,0.0084,ring
N0211,N0212,0.0121,ring
N0212,N0213,0.0018,ring
N0213,N0214,0.0055,ring
N0214,N0215,0.0092,ring
N0215,N0216,0.0129,ring
N0216,N0217,0.0026,ring
N0217,N0218,0.0063,ring
N0218,N0219,0.0100,ring
N0219,N0220,0.0137,ring
N0220,N0221,0.0034,ring
N0221,N0222,0.0071,ring
N0222,N0223,0.0108,ring
N0223,N0224,0.0005,ring
N0224,N0225,0.0042,ring
N0225,N0226,0.0079,ring
N0226,N0227,0.0116,ring
N0227,N0228,0.0013,ring
N0228,N0229,0.0050,ring
N0229,N0230,0.0087,ring
N0230,N0231,0.0124,ring
N0231,N0232,0.0021,ring
N0232,N0233,0.0058,ring
N0233,N0234,0.0095,ring
N0234,N0235,0.0132,ring
N0235,N0236,0.0029,ring
N0236,N0237,0.0066,ring
N0237,N0238,0.0103,ring
N0238,N0239,0.0140,ring
N0239,N0240,0.0037,ring
N0240,N0241,0.0074,ring
N0241,N0242,0.0111,ring
N0242,N0243,0.0008,ring
N0243,N0244,0.0045,ring
N0244,N0245,0.0082,ring
N0245,N0246,0.0119,ring
N0246,N0247,0.0016,ring
N0247,N0248,0.0053,ring
N0248,N0249,0.0090,ring
N0249,N0250,0.0127,ring
N0250,N0251,0.0024,ring
N0251,N0252,0.0061,ring
N0252,N0253,0.0098,ring
N0253,N0254,0.0135,ring
N0254,N0255,0.0032,ring
N0255,N0256,0.0069,ring
N0256,N0257,0.0106,ring
N0257,N0258,0.0003,ring
N0258,N0259,0.0040,ring
N0259,N0260,0.0077,ring
N0260,N0261,0.0114,ring
N0261,N0262,0.0011,ring
N0262,N0263,0.0048,ring
N0263,N0264,0.0085,ring
N0264,N0265,0.0122,ring
N0265,N0266,0.0019,ring
N0266,N0267,0.0056,ring
N0267,N0268,0.0093,ring
N0268,N0269,0.0130,ring
N0269,N0270,0.0027,ring
