source,target,distance
MZ375596,MZ797980,24
MZ745515,MZ797980,22
MZ745515,MZ375596,28
MZ797832,MZ797980,25
MZ797832,MZ375596,1
MZ797832,MZ745515,29
MZ415508,MZ797980,40
MZ415508,MZ375596,40
MZ415508,MZ745515,42
MZ415508,MZ797832,41
MZ505967,MZ797980,41
MZ505967,MZ375596,41
MZ505967,MZ745515,43
MZ505967,MZ797832,42
MZ505967,MZ415508,26
MZ797748,MZ797980,27
MZ797748,MZ375596,9
MZ797748,MZ745515,31
MZ797748,MZ797832,10
MZ797748,MZ415508,43
MZ797748,MZ505967,44
MZ797703,MZ797980,28
MZ797703,MZ375596,10
MZ797703,MZ745515,32
MZ797703,MZ797832,11
MZ797703,MZ415508,42
MZ797703,MZ505967,45
MZ797703,MZ797748,13
MZ797965,MZ797980,26
MZ797965,MZ375596,4
MZ797965,MZ745515,32
MZ797965,MZ797832,5
MZ797965,MZ415508,44
MZ797965,MZ505967,45
MZ797965,MZ797748,13
MZ797965,MZ797703,14
MZ745181,MZ797980,31
MZ745181,MZ375596,13
MZ745181,MZ745515,33
MZ745181,MZ797832,14
MZ745181,MZ415508,45
MZ745181,MZ505967,48
MZ745181,MZ797748,16
MZ745181,MZ797703,15
MZ745181,MZ797965,17
MZ798055,MZ797980,31
MZ798055,MZ375596,13
MZ798055,MZ745515,35
MZ798055,MZ797832,14
MZ798055,MZ415508,47
MZ798055,MZ505967,48
MZ798055,MZ797748,16
MZ798055,MZ797703,17
MZ798055,MZ797965,17
MZ798055,MZ745181,20
MZ797839,MZ797980,34
MZ797839,MZ375596,16
MZ797839,MZ745515,36
MZ797839,MZ797832,17
MZ797839,MZ415508,48
MZ797839,MZ505967,51
MZ797839,MZ797748,19
MZ797839,MZ797703,18
MZ797839,MZ797965,20
MZ797839,MZ745181,21
MZ797839,MZ798055,23
MZ727701,MZ797980,54
MZ727701,MZ375596,56
MZ727701,MZ745515,56
MZ727701,MZ797832,57
MZ727701,MZ415508,57
MZ727701,MZ505967,59
MZ727701,MZ797748,59
MZ727701,MZ797703,58
MZ727701,MZ797965,60
