index,id,source,target,visible,cluster,origin,_originAll,nn,directed,hasDistance,distanceOrigin,distanceOrigins,mt_networks,label,mtRawLinkLabel,lineSelectedColor,lineColor,lineOpacity,width,secondLink,bidirectional,distance,Distance,length,Length,weight,Weight,snps,SNPs,tn93,TN93,genetic_distance,mean_genetic_distance
1,source_link_id_001,N001,N002,true,201,link-source-1.csv,link-origin-all-1,nn-1,true,true,distance-origin-1,distance-origins-1,link-network-1,Link collision label 1,Raw link label 1,#ff0000,#3366cc,0.11,1.1,false,false,1.01,101.01,11.01,111.01,21.01,121.01,31,131,0.001,0.101,0.201,0.301
2,source_link_id_002,N002,N003,false,202,link-source-2.csv,link-origin-all-2,nn-2,false,true,distance-origin-2,distance-origins-2,link-network-2,Link collision label 2,Raw link label 2,#00ff00,#dc3912,0.12,1.2,true,false,2.02,102.02,12.02,112.02,22.02,122.02,32,132,0.002,0.102,0.202,0.302
3,source_link_id_003,N003,N004,true,203,link-source-3.csv,link-origin-all-3,nn-3,true,false,distance-origin-3,distance-origins-3,link-network-3,Link collision label 3,Raw link label 3,#0000ff,#ff9900,0.13,1.3,false,true,3.03,103.03,13.03,113.03,23.03,123.03,33,133,0.003,0.103,0.203,0.303
4,source_link_id_004,N004,N005,false,204,link-source-4.csv,link-origin-all-4,nn-4,false,true,distance-origin-4,distance-origins-4,link-network-4,Link collision label 4,Raw link label 4,#ffff00,#109618,0.14,1.4,true,true,4.04,104.04,14.04,114.04,24.04,124.04,34,134,0.004,0.104,0.204,0.304
5,source_link_id_005,N005,N006,true,205,link-source-5.csv,link-origin-all-5,nn-5,true,true,distance-origin-5,distance-origins-5,link-network-5,Link collision label 5,Raw link label 5,#ff00ff,#990099,0.15,1.5,false,false,5.05,105.05,15.05,115.05,25.05,125.05,35,135,0.005,0.105,0.205,0.305
6,source_link_id_006,N006,N001,false,206,link-source-6.csv,link-origin-all-6,nn-6,false,false,distance-origin-6,distance-origins-6,link-network-6,Link collision label 6,Raw link label 6,#00ffff,#0099c6,0.16,1.6,true,false,6.06,106.06,16.06,116.06,26.06,126.06,36,136,0.006,0.106,0.206,0.306
7,source_link_id_007,N001,N003,true,207,link-source-7.csv,link-origin-all-7,nn-7,true,true,distance-origin-7,distance-origins-7,link-network-7,Link collision label 7,Raw link label 7,#aa0000,#dd4477,0.17,1.7,false,true,7.07,107.07,17.07,117.07,27.07,127.07,37,137,0.007,0.107,0.207,0.307
8,source_link_id_008,N002,N004,false,208,link-source-8.csv,link-origin-all-8,nn-8,false,true,distance-origin-8,distance-origins-8,link-network-8,Link collision label 8,Raw link label 8,#00aa00,#66aa00,0.18,1.8,true,true,8.08,108.08,18.08,118.08,28.08,128.08,38,138,0.008,0.108,0.208,0.308
9,source_link_id_009,N003,N005,true,209,link-source-9.csv,link-origin-all-9,nn-9,true,false,distance-origin-9,distance-origins-9,link-network-9,Link collision label 9,Raw link label 9,#0000aa,#b82e2e,0.19,1.9,false,false,9.09,109.09,19.09,119.09,29.09,129.09,39,139,0.009,0.109,0.209,0.309
10,source_link_id_010,N004,N006,false,210,link-source-10.csv,link-origin-all-10,nn-10,false,true,distance-origin-10,distance-origins-10,link-network-10,Link collision label 10,Raw link label 10,#aaaa00,#316395,0.20,2.0,true,false,10.10,110.10,20.10,120.10,30.10,130.10,40,140,0.010,0.110,0.210,0.310
11,source_link_id_011,N005,N001,true,211,link-source-11.csv,link-origin-all-11,nn-11,true,true,distance-origin-11,distance-origins-11,link-network-11,Link collision label 11,Raw link label 11,#aa00aa,#994499,0.21,2.1,false,true,11.11,111.11,21.11,121.11,31.11,131.11,41,141,0.011,0.111,0.211,0.311
12,source_link_id_012,N006,N002,false,212,link-source-12.csv,link-origin-all-12,nn-12,false,false,distance-origin-12,distance-origins-12,link-network-12,Link collision label 12,Raw link label 12,#00aaaa,#22aa99,0.22,2.2,true,true,12.12,112.12,22.12,122.12,32.12,132.12,42,142,0.012,0.112,0.212,0.312
