source,target,cluster_id,expected_cluster_size,topology
size_002_chain_01_node_001,size_002_chain_01_node_002,size_002_chain_01,2,chain
size_002_star_02_node_001,size_002_star_02_node_002,size_002_star_02,2,star
size_002_cycle_03_node_001,size_002_cycle_03_node_002,size_002_cycle_03,2,cycle
size_002_binary_tree_04_node_001,size_002_binary_tree_04_node_002,size_002_binary_tree_04,2,binary_tree
size_003_chain_01_node_001,size_003_chain_01_node_002,size_003_chain_01,3,chain
size_003_chain_01_node_002,size_003_chain_01_node_003,size_003_chain_01,3,chain
size_003_star_02_node_001,size_003_star_02_node_002,size_003_star_02,3,star
size_003_star_02_node_001,size_003_star_02_node_003,size_003_star_02,3,star
size_003_cycle_03_node_001,size_003_cycle_03_node_002,size_003_cycle_03,3,cycle
size_003_cycle_03_node_002,size_003_cycle_03_node_003,size_003_cycle_03,3,cycle
size_003_cycle_03_node_003,size_003_cycle_03_node_001,size_003_cycle_03,3,cycle
size_003_binary_tree_04_node_001,size_003_binary_tree_04_node_002,size_003_binary_tree_04,3,binary_tree
size_003_binary_tree_04_node_001,size_003_binary_tree_04_node_003,size_003_binary_tree_04,3,binary_tree
size_004_chain_01_node_001,size_004_chain_01_node_002,size_004_chain_01,4,chain
size_004_chain_01_node_002,size_004_chain_01_node_003,size_004_chain_01,4,chain
size_004_chain_01_node_003,size_004_chain_01_node_004,size_004_chain_01,4,chain
size_004_star_02_node_001,size_004_star_02_node_002,size_004_star_02,4,star
size_004_star_02_node_001,size_004_star_02_node_003,size_004_star_02,4,star
size_004_star_02_node_001,size_004_star_02_node_004,size_004_star_02,4,star
size_004_cycle_03_node_001,size_004_cycle_03_node_002,size_004_cycle_03,4,cycle
size_004_cycle_03_node_002,size_004_cycle_03_node_003,size_004_cycle_03,4,cycle
size_004_cycle_03_node_003,size_004_cycle_03_node_004,size_004_cycle_03,4,cycle
size_004_cycle_03_node_004,size_004_cycle_03_node_001,size_004_cycle_03,4,cycle
size_004_binary_tree_04_node_001,size_004_binary_tree_04_node_002,size_004_binary_tree_04,4,binary_tree
size_004_binary_tree_04_node_001,size_004_binary_tree_04_node_003,size_004_binary_tree_04,4,binary_tree
size_004_binary_tree_04_node_002,size_004_binary_tree_04_node_004,size_004_binary_tree_04,4,binary_tree
size_005_chain_01_node_001,size_005_chain_01_node_002,size_005_chain_01,5,chain
size_005_chain_01_node_002,size_005_chain_01_node_003,size_005_chain_01,5,chain
size_005_chain_01_node_003,size_005_chain_01_node_004,size_005_chain_01,5,chain
size_005_chain_01_node_004,size_005_chain_01_node_005,size_005_chain_01,5,chain
size_005_star_02_node_001,size_005_star_02_node_002,size_005_star_02,5,star
size_005_star_02_node_001,size_005_star_02_node_003,size_005_star_02,5,star
size_005_star_02_node_001,size_005_star_02_node_004,size_005_star_02,5,star
size_005_star_02_node_001,size_005_star_02_node_005,size_005_star_02,5,star
size_005_cycle_03_node_001,size_005_cycle_03_node_002,size_005_cycle_03,5,cycle
size_005_cycle_03_node_002,size_005_cycle_03_node_003,size_005_cycle_03,5,cycle
size_005_cycle_03_node_003,size_005_cycle_03_node_004,size_005_cycle_03,5,cycle
size_005_cycle_03_node_004,size_005_cycle_03_node_005,size_005_cycle_03,5,cycle
size_005_cycle_03_node_005,size_005_cycle_03_node_001,size_005_cycle_03,5,cycle
size_005_binary_tree_04_node_001,size_005_binary_tree_04_node_002,size_005_binary_tree_04,5,binary_tree
size_005_binary_tree_04_node_001,size_005_binary_tree_04_node_003,size_005_binary_tree_04,5,binary_tree
size_005_binary_tree_04_node_002,size_005_binary_tree_04_node_004,size_005_binary_tree_04,5,binary_tree
size_005_binary_tree_04_node_002,size_005_binary_tree_04_node_005,size_005_binary_tree_04,5,binary_tree
size_006_chain_01_node_001,size_006_chain_01_node_002,size_006_chain_01,6,chain
size_006_chain_01_node_002,size_006_chain_01_node_003,size_006_chain_01,6,chain
size_006_chain_01_node_003,size_006_chain_01_node_004,size_006_chain_01,6,chain
size_006_chain_01_node_004,size_006_chain_01_node_005,size_006_chain_01,6,chain
size_006_chain_01_node_005,size_006_chain_01_node_006,size_006_chain_01,6,chain
size_006_star_02_node_001,size_006_star_02_node_002,size_006_star_02,6,star
size_006_star_02_node_001,size_006_star_02_node_003,size_006_star_02,6,star
size_006_star_02_node_001,size_006_star_02_node_004,size_006_star_02,6,star
size_006_star_02_node_001,size_006_star_02_node_005,size_006_star_02,6,star
size_006_star_02_node_001,size_006_star_02_node_006,size_006_star_02,6,star
size_006_cycle_03_node_001,size_006_cycle_03_node_002,size_006_cycle_03,6,cycle
size_006_cycle_03_node_002,size_006_cycle_03_node_003,size_006_cycle_03,6,cycle
size_006_cycle_03_node_003,size_006_cycle_03_node_004,size_006_cycle_03,6,cycle
size_006_cycle_03_node_004,size_006_cycle_03_node_005,size_006_cycle_03,6,cycle
size_006_cycle_03_node_005,size_006_cycle_03_node_006,size_006_cycle_03,6,cycle
size_006_cycle_03_node_006,size_006_cycle_03_node_001,size_006_cycle_03,6,cycle
size_006_binary_tree_04_node_001,size_006_binary_tree_04_node_002,size_006_binary_tree_04,6,binary_tree
size_006_binary_tree_04_node_001,size_006_binary_tree_04_node_003,size_006_binary_tree_04,6,binary_tree
size_006_binary_tree_04_node_002,size_006_binary_tree_04_node_004,size_006_binary_tree_04,6,binary_tree
size_006_binary_tree_04_node_002,size_006_binary_tree_04_node_005,size_006_binary_tree_04,6,binary_tree
size_006_binary_tree_04_node_003,size_006_binary_tree_04_node_006,size_006_binary_tree_04,6,binary_tree
size_007_chain_01_node_001,size_007_chain_01_node_002,size_007_chain_01,7,chain
size_007_chain_01_node_002,size_007_chain_01_node_003,size_007_chain_01,7,chain
size_007_chain_01_node_003,size_007_chain_01_node_004,size_007_chain_01,7,chain
size_007_chain_01_node_004,size_007_chain_01_node_005,size_007_chain_01,7,chain
size_007_chain_01_node_005,size_007_chain_01_node_006,size_007_chain_01,7,chain
size_007_chain_01_node_006,size_007_chain_01_node_007,size_007_chain_01,7,chain
size_007_star_02_node_001,size_007_star_02_node_002,size_007_star_02,7,star
size_007_star_02_node_001,size_007_star_02_node_003,size_007_star_02,7,star
size_007_star_02_node_001,size_007_star_02_node_004,size_007_star_02,7,star
size_007_star_02_node_001,size_007_star_02_node_005,size_007_star_02,7,star
size_007_star_02_node_001,size_007_star_02_node_006,size_007_star_02,7,star
size_007_star_02_node_001,size_007_star_02_node_007,size_007_star_02,7,star
size_007_cycle_03_node_001,size_007_cycle_03_node_002,size_007_cycle_03,7,cycle
size_007_cycle_03_node_002,size_007_cycle_03_node_003,size_007_cycle_03,7,cycle
size_007_cycle_03_node_003,size_007_cycle_03_node_004,size_007_cycle_03,7,cycle
size_007_cycle_03_node_004,size_007_cycle_03_node_005,size_007_cycle_03,7,cycle
size_007_cycle_03_node_005,size_007_cycle_03_node_006,size_007_cycle_03,7,cycle
size_007_cycle_03_node_006,size_007_cycle_03_node_007,size_007_cycle_03,7,cycle
size_007_cycle_03_node_007,size_007_cycle_03_node_001,size_007_cycle_03,7,cycle
size_007_binary_tree_04_node_001,size_007_binary_tree_04_node_002,size_007_binary_tree_04,7,binary_tree
size_007_binary_tree_04_node_001,size_007_binary_tree_04_node_003,size_007_binary_tree_04,7,binary_tree
size_007_binary_tree_04_node_002,size_007_binary_tree_04_node_004,size_007_binary_tree_04,7,binary_tree
size_007_binary_tree_04_node_002,size_007_binary_tree_04_node_005,size_007_binary_tree_04,7,binary_tree
size_007_binary_tree_04_node_003,size_007_binary_tree_04_node_006,size_007_binary_tree_04,7,binary_tree
size_007_binary_tree_04_node_003,size_007_binary_tree_04_node_007,size_007_binary_tree_04,7,binary_tree
size_008_chain_01_node_001,size_008_chain_01_node_002,size_008_chain_01,8,chain
